"ASSET","ASTEMPM","BKCLASS","CERT","ESAL","ID","NCLNLSR","NONIXAY","NUMEMP","RBC1AAJ","ROA","SPECGRP","STALP"
116873,5.84365,"NM",10004,1536,"10004_20201231",0.11082424006235386,3.07546131919788,20,10.161288918676613,0.5991283307880798,4,"WI"
301037,5.1023220338983055,"NM",10011,4708,"10011_20201231",0.44366620280269686,2.4512995468513985,59,8.309120068714225,1.8627995671070832,4,"WI"
183744,4.4815609756097565,"NM",10012,3019,"10012_20201231",0.18044633932757204,2.666567487487081,41,9.924518055932662,0.8683813394373611,4,"WI"
137375,5.9728260869565215,"NM",10015,1526,"10015_20201231",3.4988766368669917,2.378287413286699,23,11.701398009514637,1.5988684689323451,2,"WI"
2480601,6.814837912087913,"N",10044,28088,"10044_20201231",0.5617898173143323,2.3938913462683997,364,17.074196081881162,0.6600045840759114,4,"WI"
205016,3.8682264150943393,"NM",10055,4400,"10055_20201231",0.4363137210043386,4.398880370422139,53,9.21547705958331,0.09690457424828479,4,"GA"
87398,4.3698999999999995,"NM",10057,1343,"10057_20201231",1.023695697360216,3.025957763554573,20,18.894974603843362,0.6335715761617762,7,"GA"
1908060,5.611941176470588,"SM",1005,23761,"1005_20201231",0.4281052334716571,2.7152611665928754,340,7.97260085650964,0.6641763037292876,4,"MI"
127213,6.360650000000001,"NM",10072,1684,"10072_20201231",1.4101539281395397,2.8206984787560105,20,9.578027111047989,0.4648440795208503,7,"GA"
55204,5.5204,"NM",10074,773,"10074_20201231",0.8913930118151621,3.1368315654432237,10,16.220252526232084,0.666870052254451,8,"GA"
38052,5.436,"NM",10075,500,"10075_20201231",0.005026388539834129,2.092719468955773,7,10.419042535122411,1.2689611047426088,2,"IL"
36802,7.3604,"NM",10077,367,"10077_20201231",0,1.693011764045259,5,25.506995755384377,0.6064519751803914,2,"IL"
108220,21.644,"NM",10080,396,"10080_20201231",0,0.6807463053430424,5,10.236973041856805,0.9140627400374843,2,"IL"
117935,3.1874324324324323,"SM",1008,2699,"1008_20201231",1.230071932712472,4.387579879763106,37,8.672845700523636,-0.15227483112119014,4,"MI"
350348,4.491641025641026,"NM",10101,4187,"10101_20201231",0.4540957959096515,2.599518345374699,78,10.057510089231691,1.3937719738824712,2,"IN"
364756,6.754740740740742,"NM",10111,5506,"10111_20201231",0.11603164224458866,2.5682949636377077,54,11.409138725994897,1.1653523877813903,2,"IA"
224670,6.240833333333334,"NM",10118,3917,"10118_20201231",0.33018712796395566,3.015355199873847,36,10.290968276177152,0.8559686194118111,2,"IA"
35484,7.0968,"NM",10120,661,"10120_20201231",1.197271335096756,2.884402041269137,5,16.960800950279996,-0.9780108135882195,2,"IA"
167875,7.630681818181818,"NM",10121,1919,"10121_20201231",0,2.0021705774484486,22,19.66824497496013,1.142714821998454,2,"IA"
195233,7.508961538461539,"NM",10122,2336,"10122_20201231",0,2.140071810195106,26,8.92667428640481,1.159688307561256,2,"IA"
55732,6.192444444444444,"NM",10123,782,"10123_20201231",3.828225726470297,2.501516070345664,9,10.896287270642201,0.33279592953600856,2,"IA"
150310,6.2629166666666665,"NM",10125,1642,"10125_20201231",0.3629793873696313,1.7321621780843763,24,9.06230333543109,1.3147477336766524,2,"IA"
216773,6.375676470588235,"NM",10127,3679,"10127_20201231",0.48927708695732347,2.9001881100803537,34,10.834273847681821,1.105667147350373,2,"IA"
132356,7.785647058823529,"NM",10132,1714,"10132_20201231",0,1.9605189736804296,17,9.194860217714004,1.044997544130472,2,"IA"
205945,3.9604807692307693,"NM",10137,3148,"10137_20201231",0.858535935226629,3.071679128877858,52,13.284033987232041,0.815841319385685,8,"KY"
31289,5.214833333333334,"NM",10145,264,"10145_20201231",0,2.838469611678275,6,21.624431448992855,0.6644676762031976,4,"KY"
1189137,4.0863814432989685,"NM",10146,43834,"10146_20201231",0.12682255222333177,5.518281177120898,291,9.633749542793648,1.6867059076273676,4,"KY"
1921293,5.206756097560976,"SM",1014,25338,"1014_20201231",0.6000184290735633,2.7610197639540144,369,8.425216653334722,1.0300813197461,4,"MI"
332749,3.230572815533981,"NM",10157,6823,"10157_20201231",0.28883925132866056,3.6976774735615408,103,7.257275783100262,0.6860797985591673,4,"MI"
321673,4.467680555555556,"NM",10159,7414,"10159_20201231",0.009825499135356077,3.740870212378756,72,9.207260392374303,1.2789851234371732,4,"MN"
102791,34.263666666666666,"N",10160,234,"10160_20201231",0.12785051324605076,0.6033671124429281,3,18.230037355788085,0.996163152086982,4,"MN"
83037,5.5358,"NM",10162,1004,"10162_20201231",0.9638811711904253,2.2180291076900436,15,9.946533140965798,1.340278252277159,2,"MN"
173813,7.55708695652174,"NM",10163,2548,"10163_20201231",0.2908180551895494,2.3568513928569175,23,9.533984415825717,1.704728208427147,4,"MN"
278586,5.803875000000001,"NM",10165,3579,"10165_20201231",0.23057162309835624,2.3442626210407016,48,9.120603290476033,1.8288827471019824,2,"MN"
258658,6.1585238095238095,"NM",10167,3166,"10167_20201231",0.9539145771029829,1.9224149015151202,42,11.814409861707867,1.4047938018191395,8,"MN"
417785,7.5960909090909094,"NM",10168,4379,"10168_20201231",1.5039895432190173,2.458234420922409,55,11.734539969834087,1.5999540081017334,2,"MN"
185991,5.166416666666667,"NM",10169,2425,"10169_20201231",0.13841280457784094,2.7097781078121654,36,7.499060779797782,2.3926094672322002,4,"MN"
84655,4.455526315789474,"NM",10174,1383,"10174_20201231",0.07465356081932283,3.279333639404473,19,8.516264278142383,1.1515506202985708,2,"MN"
171537,7.147375,"NM",10175,2011,"10175_20201231",1.2698160224802504,2.4040384698616464,24,9.007731341854566,0.835445993072487,4,"MN"
126424,5.746545454545455,"NM",10176,1819,"10176_20201231",0.4783026201472404,2.5667403676861973,22,8.959093769666456,1.5388499911285811,4,"MN"
109287,5.751947368421053,"NM",10178,1480,"10178_20201231",0.4250500827454055,2.569128748383868,19,7.3330439869416715,1.2814363765275056,2,"MN"
147712,6.422260869565217,"NM",10184,2021,"10184_20201231",0,2.4455789024946863,23,7.205744532002798,1.2427487493428493,2,"MN"
57565,5.7565,"NM",10185,1086,"10185_20201231",1.6341991341991342,2.927477377730905,10,11.283783783783784,2.3982795440641644,4,"MN"
40955,8.190999999999999,"NM",10187,320,"10187_20201231",3.4473985498028243,1.3862138874809935,5,16.310483374004782,0.456158134820071,2,"MN"
177407,6.11748275862069,"NM",10191,3139,"10191_20201231",0.17911219440135903,3.1158559357780757,29,13.636439578309561,2.1483452000952403,4,"MN"
147152,3.872421052631579,"NM",10194,2547,"10194_20201231",0.3564024649987221,2.885618899654882,38,7.5892731716910635,0.6774866874607147,8,"MN"
90566,9.0566,"NM",10196,817,"10196_20201231",0,1.6330137749514897,10,10.07969374488371,1.6053966302280454,2,"MN"
70403,5.415615384615385,"NM",10197,803,"10197_20201231",0.9514370664023787,2.267648712943943,13,9.423173622584583,0.8240527153138466,2,"MN"
34000,5.666666666666667,"NM",10200,414,"10200_20201231",0.0262501640635254,2.2442641017934073,6,11.429900744416873,0.4775740573756805,2,"MN"
58927,5.8927,"NM",10202,956,"10202_20201231",0.5136947380384134,2.7157364000736472,10,8.296781159322492,1.726103644114606,4,"MN"
55450,5.040909090909091,"NM",10208,765,"10208_20201231",0.08247684304022332,2.4119690510026843,11,7.521310379408323,0.11053213327017213,2,"MN"
224935,11.838684210526315,"NM",10212,2737,"10212_20201231",0.5935887774621761,2.144566822262777,19,11.691231901011204,0.9945617783810057,4,"MN"
708185,19.140135135135136,"NM",10214,6152,"10214_20201231",0.6340355225113589,1.3122168649686812,37,12.096205163749783,2.153541058259576,4,"MN"
291879,9.7293,"NM",10218,3049,"10218_20201231",0.5602411472764364,1.9455838023786556,30,7.2965052176325385,1.7150132288902615,4,"MN"
319658,7.99145,"N",1022,2668,"1022_20201231",1.8590083428667095,1.4715634336976848,40,11.370129128099645,1.1481242900426127,2,"WI"
138936,4.962000000000001,"NM",10236,2162,"10236_20201231",0.06278777731268313,2.683020893987402,28,9.502756834199214,1.3430228601244716,2,"ND"
92392,9.2392,"NM",10243,1023,"10243_20201231",0.017735887301104692,1.7168774539325946,10,8.914518022522719,1.4869489301904322,2,"ND"
