lei,year,application_count,approval_count,denial_count,approval_rate,denial_rate,du_share,lpa_share,internal_aus_share,other_aus_share,external_aus_coverage,external_aus_coverage_alt_any_aus_reported,cert,rssd,entity,type,insure,name,assets,assetl,org,assorg,namet,state,fore,valid_fdic_cert,asset,astempm,bkclass,esal,id,nclnlsr,nonixay,numemp,rbc1aaj,roa,specgrp,stalp,matched_fdic_financials
01J4SO3XTWZF4PP38209,2023,3378,3042,336,0.9005328596802842,0.0994671403197158,0.5805210183540557,0.0926583777383067,0.0,0.3268206039076377,0.6731793960923623,0.6731793960923623,4988.0,342634.0,342634.0,10.0,7.0,TRUSTMARK NB,18719930.0,18013146.0,1079562.0,18722189.0,TRUSTMARK NATIONAL BANK,28.0,NAT,True,18719930.0,6.789963728690606,N,304665.0,4988_20231231,1.1955613468890327,2.900859065464968,2757.0,8.749963003182655,0.939100879388656,4.0,MS,True
01J4SO3XTWZF4PP38209,2024,2241,2156,85,0.962070504239179,0.03792949576082106,0.6662204373047746,0.24051762605979474,0.0,0.09326193663543061,0.9067380633645694,0.9071842927264614,4988.0,342634.0,342634.0,10.0,7.0,TRUSTMARK NB,18150160.0,18719930.0,1079562.0,18152422.0,TRUSTMARK NATIONAL BANK,28.0,NAT,True,18150160.0,7.260064,N,266239.0,4988_20241231,1.1697147284448923,2.6081993327221813,2500.0,10.210575197903331,1.2553649056974243,4.0,MS,True
01J4SO3XTWZF4PP38209,2025,2174,2065,109,0.9498620055197792,0.05013799448022079,0.6816927322907084,0.20101195952161913,0.0,0.11729530818767249,0.8827046918123275,0.8831646734130635,4988.0,342634.0,342634.0,10.0,7.0,TRUSTMARK BK,18922957.0,18150160.0,1079562.0,18925211.0,TRUSTMARK BANK,28.0,SMB,True,18922957.0,7.441194258749509,SM,283377.0,4988_20251231,1.3504386361606826,2.733931239046598,2543.0,10.36516138592907,1.2609318447845104,4.0,MS,True
03D0JEWFDFUS0SEEKG89,2023,5046,4248,798,0.8418549346016647,0.1581450653983353,0.25980975029726516,0.0,0.0,0.7401902497027348,0.25980975029726516,0.25980975029726516,18409.0,497404.0,497404.0,10.0,7.0,T D BK NA,367174651.0,344032413.0,1238565.0,746094152.0,TD BANK,10.0,NAT,True,367174651.0,13.649107877030596,N,3145299.0,18409_20231231,0.6057121987965529,1.7613961190788916,26901.0,11.012485656018656,0.6083688967849572,9.0,DE,True
03D0JEWFDFUS0SEEKG89,2024,4152,3497,655,0.8422447013487476,0.1577552986512524,0.45134874759152216,0.00024084778420038535,0.0,0.5484104046242775,0.4515895953757225,0.4515895953757225,18409.0,497404.0,497404.0,10.0,7.0,T D BK NA,372778425.0,367174651.0,1238565.0,720290394.0,TD BANK,10.0,NAT,True,372778425.0,13.52655847454552,N,3316539.0,18409_20241231,0.9448385764654392,2.613326614930501,27559.0,9.941053705917485,-0.3618651701363153,9.0,DE,True
03D0JEWFDFUS0SEEKG89,2025,3874,3216,658,0.8301497160557563,0.16985028394424367,0.42178626742385134,0.0,0.0,0.5782137325761487,0.42178626742385134,0.4217862674238513,18409.0,497404.0,497404.0,10.0,7.0,TD BK NA,346188188.0,372778425.0,1238565.0,380820075.0,TD BANK,10.0,NAT,True,346188188.0,11.934231522338663,N,3845805.0,18409_20251231,1.214210203332557,2.233161154695998,29008.0,11.325807607263984,0.5390262720790824,9.0,DE,True
1IE8VN30JCEQV1H4R804,2023,1053,1004,49,0.9534662867996201,0.04653371320037987,0.05413105413105413,0.000949667616334283,0.9354226020892688,0.00949667616334283,0.055080721747388414,0.9905033238366572,57890.0,413208.0,413208.0,10.0,7.0,HSBC BK USA NA,165171605.0,195872216.0,1857108.0,165229105.0,"HSBC BANK USA, NA",51.0,NAT,True,165171605.0,86.56792714884696,N,492565.0,57890_20231231,1.4255863734088494,1.6692423871447335,1908.0,10.152921360637787,0.5170664634782878,9.0,VA,True
1IE8VN30JCEQV1H4R804,2024,1241,1189,52,0.9580983078162773,0.041901692183722805,0.06768734891216761,0.0,0.9266720386784851,0.0056406124093473006,0.06768734891216761,0.9943593875906527,57890.0,413208.0,413208.0,10.0,7.0,HSBC BK USA NA,164819624.0,165171605.0,1857108.0,164876120.0,"HSBC BANK USA, NA",51.0,NAT,True,164819624.0,83.66478375634519,N,525183.0,57890_20241231,1.2569286008834544,1.5947738225897254,1970.0,10.160969122806144,0.8017737598179614,9.0,VA,True
1IE8VN30JCEQV1H4R804,2025,1145,1087,58,0.9493449781659389,0.050655021834061134,0.05240174672489083,0.0,0.9135371179039301,0.03406113537117904,0.05240174672489083,0.965938864628821,57890.0,413208.0,413208.0,10.0,7.0,HSBC BK USA NA,165262283.0,164819624.0,1857108.0,165318723.0,"HSBC BANK USA, NA",51.0,NAT,True,165262283.0,96.53170735981308,N,542362.0,57890_20251231,1.3439978412475628,1.5602091176504818,1712.0,10.274438440194682,0.917536070640927,9.0,VA,True
1TMVIO1SD0RLIPEIW803,2023,522,486,36,0.9310344827586207,0.06896551724137931,0.7432950191570882,0.07662835249042145,0.0,0.18007662835249041,0.8199233716475096,0.8199233716475096,29546.0,572374.0,572374.0,10.0,7.0,GREAT SOUTHERN BK,5815659.0,5684000.0,2339133.0,5817185.0,GREAT SOUTHERN BANK,29.0,NMB,True,5815659.0,5.624428433268859,NM,76242.0,29546_20231231,0.2520954847054991,2.4037415459966485,1034.0,11.57282199261967,1.301088182527335,4.0,MO,True
20TVKH7M13MUBGE80C53,2023,1296,1243,53,0.9591049382716049,0.04089506172839506,0.5887345679012346,0.35802469135802467,0.0,0.05324074074074074,0.9467592592592593,0.9467592592592593,27811.0,636771.0,636771.0,10.0,7.0,INDEPENDENT BK,5259523.0,4995759.0,1201925.0,5263726.0,INDEPENDENT BANK,26.0,SMB,True,5259523.0,6.566196004993758,SM,77604.0,27811_20231231,0.1950165302978396,2.4419245531501854,801.0,8.800501660286148,1.2320348024556391,4.0,MI,True
20TVKH7M13MUBGE80C53,2024,1089,1047,42,0.9614325068870524,0.03856749311294766,0.5840220385674931,0.34710743801652894,0.0,0.06887052341597796,0.9311294765840221,0.931129476584022,27811.0,636771.0,636771.0,10.0,7.0,INDEPENDENT BK,5328488.0,5259523.0,1201925.0,5338104.0,INDEPENDENT BANK,26.0,SMB,True,5328488.0,6.762040609137056,SM,83976.0,27811_20241231,0.1923684626323273,2.563625512819057,788.0,9.575287699895382,1.3397042583204608,4.0,MI,True
20TVKH7M13MUBGE80C53,2025,966,924,42,0.9565217391304348,0.043478260869565216,0.7122153209109731,0.2432712215320911,0.0,0.044513457556935816,0.9554865424430642,0.9554865424430642,27811.0,636771.0,636771.0,10.0,7.0,INDEPENDENT BK,5499615.0,5328488.0,1201925.0,5505720.0,INDEPENDENT BANK,26.0,SMB,True,5499615.0,7.032755754475703,SM,83832.0,27811_20251231,0.7711401374781008,2.547233941044209,782.0,9.360943772721026,1.3303973774421305,4.0,MI,True
213800XR2TCBQJSF1X93,2023,3283,3046,237,0.9278099299421261,0.0721900700578739,0.7416996649406031,0.25007614986293025,0.0,0.008224185196466647,0.9917758148035334,0.9966494060310691,35014.0,2747587.0,2747587.0,10.0,7.0,NBKC BK,1106624.0,1052701.0,2772990.0,1106624.0,NBKC BANK,20.0,NMB,True,1106624.0,2.9989810298102983,NM,46803.0,35014_20231231,0.7017076788498839,7.611884403414155,369.0,17.990658896406465,3.143662191669905,4.0,KS,True
213800XR2TCBQJSF1X93,2024,4042,3762,280,0.9307273626917367,0.06927263730826323,0.7560613557644731,0.23849579416130628,0.0,0.0054428500742206825,0.9945571499257794,0.9962889658584859,35014.0,2747587.0,2747587.0,10.0,7.0,NBKC BK,1142781.0,1106624.0,2772990.0,1142781.0,NBKC BANK,20.0,NMB,True,1142781.0,3.096967479674797,NM,51711.0,35014_20241231,0.6238928783489461,7.946299926239246,369.0,16.508664124751302,3.072019549757628,4.0,KS,True
213800XR2TCBQJSF1X93,2025,3152,2869,283,0.9102157360406091,0.08978426395939086,0.6973350253807107,0.2985406091370558,0.0,0.004124365482233503,0.9958756345177665,0.9958756345177665,35014.0,2747587.0,2747587.0,10.0,7.0,NBKC BK,1256004.0,1142781.0,2772990.0,1256004.0,NBKC BANK,20.0,NMB,True,1256004.0,3.45056043956044,NM,53044.0,35014_20251231,1.10555276517122,7.852298445841891,364.0,16.696803982349767,2.7429589745844165,4.0,KS,True
2549004XJQQPBYQSMT39,2023,754,675,79,0.8952254641909815,0.10477453580901856,0.09814323607427056,0.05702917771883289,0.001326259946949602,0.843501326259947,0.15517241379310345,0.2427055702917772,57807.0,3340725.0,3340725.0,20.0,7.0,QUONTIC BK,621668.0,632715.0,4098537.0,621668.0,QUONTIC BANK,36.0,FSB,True,623237.0,3.2630209424083767,SB,21683.0,57807_20231231,5.380717744168301,7.321225460507852,191.0,12.54461719564791,0.0100716159034843,5.0,NY,True
2549004XJQQPBYQSMT39,2024,879,797,82,0.906712172923777,0.09328782707622298,0.030716723549488054,0.08191126279863481,0.0,0.8873720136518771,0.11262798634812286,0.11262798634812288,57807.0,3340725.0,3340725.0,20.0,7.0,QUONTIC BK,710153.0,621668.0,4098537.0,710153.0,QUONTIC BANK,36.0,FSB,True,710153.0,3.414197115384616,SB,21391.0,57807_20241231,4.373789913642091,6.097512843819999,208.0,10.964168117049942,0.3436757886478908,5.0,NY,True
