column,year,present,position_in_file,in_baseline_set,pct_blank_of_all_rows,pct_numeric_of_nonblank_values
ASSET,2018,True,0,True,0.0,100.0
ASSET,2019,True,0,True,0.0,100.0
ASSET,2020,True,0,True,0.0,100.0
ASSET,2021,True,0,True,0.0,100.0
ASSET,2022,True,0,True,0.0,100.0
ASSET,2023,True,0,True,0.0,100.0
ASSET,2024,True,0,True,0.0,100.0
ASSET,2025,True,0,True,0.0,100.0
ASTEMPM,2018,True,1,True,0.62,100.0
ASTEMPM,2019,True,1,True,0.67,100.0
ASTEMPM,2020,True,1,True,0.65,100.0
ASTEMPM,2021,True,1,True,0.69,100.0
ASTEMPM,2022,True,1,True,0.69,100.0
ASTEMPM,2023,True,1,True,0.73,100.0
ASTEMPM,2024,True,1,True,0.75,100.0
ASTEMPM,2025,True,1,True,0.73,100.0
BKCLASS,2018,True,2,True,,
BKCLASS,2019,True,2,True,,
BKCLASS,2020,True,2,True,,
BKCLASS,2021,True,2,True,,
BKCLASS,2022,True,2,True,,
BKCLASS,2023,True,2,True,,
BKCLASS,2024,True,2,True,,
BKCLASS,2025,True,2,True,,
CERT,2018,True,3,True,,
CERT,2019,True,3,True,,
CERT,2020,True,3,True,,
CERT,2021,True,3,True,,
CERT,2022,True,3,True,,
CERT,2023,True,3,True,,
CERT,2024,True,3,True,,
CERT,2025,True,3,True,,
ESAL,2018,True,4,True,0.31,100.0
ESAL,2019,True,4,True,0.32,100.0
ESAL,2020,True,4,True,0.34,100.0
ESAL,2021,True,4,True,0.35,100.0
ESAL,2022,True,4,True,0.36,100.0
ESAL,2023,True,4,True,0.36,100.0
ESAL,2024,True,4,True,0.37,100.0
ESAL,2025,True,4,True,0.39,100.0
ID,2018,True,5,True,,
ID,2019,True,5,True,,
ID,2020,True,5,True,,
ID,2021,True,5,True,,
ID,2022,True,5,True,,
ID,2023,True,5,True,,
ID,2024,True,5,True,,
ID,2025,True,5,True,,
NCLNLSR,2018,True,6,True,0.0,100.0
NCLNLSR,2019,True,6,True,0.0,100.0
NCLNLSR,2020,True,6,True,0.0,100.0
NCLNLSR,2021,True,6,True,0.0,100.0
NCLNLSR,2022,True,6,True,0.0,100.0
NCLNLSR,2023,True,6,True,0.0,100.0
NCLNLSR,2024,True,6,True,0.0,100.0
NCLNLSR,2025,True,6,True,0.0,100.0
NONIXAY,2018,True,7,True,0.0,100.0
NONIXAY,2019,True,7,True,0.0,100.0
NONIXAY,2020,True,7,True,0.0,100.0
NONIXAY,2021,True,7,True,0.0,100.0
NONIXAY,2022,True,7,True,0.0,100.0
NONIXAY,2023,True,7,True,0.0,100.0
NONIXAY,2024,True,7,True,0.0,100.0
NONIXAY,2025,True,7,True,0.0,100.0
NUMEMP,2018,True,8,True,0.31,100.0
NUMEMP,2019,True,8,True,0.32,100.0
NUMEMP,2020,True,8,True,0.34,100.0
NUMEMP,2021,True,8,True,0.35,100.0
NUMEMP,2022,True,8,True,0.36,100.0
NUMEMP,2023,True,8,True,0.36,100.0
NUMEMP,2024,True,8,True,0.37,100.0
NUMEMP,2025,True,8,True,0.39,100.0
RBC1AAJ,2018,True,9,True,0.0,100.0
RBC1AAJ,2019,True,9,True,0.0,100.0
RBC1AAJ,2020,True,9,True,0.0,100.0
RBC1AAJ,2021,True,9,True,0.0,100.0
RBC1AAJ,2022,True,9,True,0.0,100.0
RBC1AAJ,2023,True,9,True,0.0,100.0
RBC1AAJ,2024,True,9,True,0.0,100.0
RBC1AAJ,2025,True,9,True,0.0,100.0
ROA,2018,True,10,True,0.0,100.0
ROA,2019,True,10,True,0.0,100.0
ROA,2020,True,10,True,0.0,100.0
ROA,2021,True,10,True,0.0,100.0
ROA,2022,True,10,True,0.0,100.0
ROA,2023,True,10,True,0.0,100.0
ROA,2024,True,10,True,0.0,100.0
ROA,2025,True,10,True,0.0,100.0
SPECGRP,2018,True,11,True,,
SPECGRP,2019,True,11,True,,
SPECGRP,2020,True,11,True,,
SPECGRP,2021,True,11,True,,
SPECGRP,2022,True,11,True,,
SPECGRP,2023,True,11,True,,
SPECGRP,2024,True,11,True,,
SPECGRP,2025,True,11,True,,
STALP,2018,True,12,True,,
STALP,2019,True,12,True,,
STALP,2020,True,12,True,,
STALP,2021,True,12,True,,
STALP,2022,True,12,True,,
STALP,2023,True,12,True,,
STALP,2024,True,12,True,,
STALP,2025,True,12,True,,
